COST_CENTER,COST_CENTER_DEPARTMENT,COST_CENTER_NT2,PROVINCE,PROVINCE (THAI),ZIPCODE,กลุ่มงาน,ส่วน,ฝ่าย,สายงาน,อักษรย่อส่วน,อักษรย่อฝ่าย,COST_CENTER_NT1.5,ส่วน 1.5,สายงาน 1.5,กลุ่มงาน 1.5,ฝ่าย 1.5,อักษรย่อฝ่าย 1.5,หมายเหตุ
1J60300,1J60300,CT000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มขายส่งและพัฒนาธุรกิจสื่อสารไร้สาย,ฝ่ายพัฒนาธุรกิจสื่อสารไร้สาย 1,ฝ่ายพัฒนาธุรกิจสื่อสารไร้สาย 1,สายงานสื่อสารไร้สาย 1,ธร.,ธร.,1J60300,ฝ่ายพัฒนาธุรกิจสื่อสารไร้สาย 1,สายงานสื่อสารไร้สาย 1,สายงานสื่อสารไร้สาย 1,ฝ่ายพัฒนาธุรกิจสื่อสารไร้สาย 1,ธร.,
1J60301,1J60300,CT000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มขายส่งและพัฒนาธุรกิจสื่อสารไร้สาย,ส่วนพัฒนาธุรกิจผลิตภัณฑ์สื่อสารไร้สาย,ฝ่ายพัฒนาธุรกิจสื่อสารไร้สาย 1,สายงานสื่อสารไร้สาย 1,ผธร.,ธร.,1J60301,ส่วนพัฒนาธุรกิจผลิตภัณฑ์สื่อสารไร้สาย,สายงานสื่อสารไร้สาย 1,สายงานสื่อสารไร้สาย 1,ฝ่ายพัฒนาธุรกิจสื่อสารไร้สาย 1,ธร.,
1J60302,1J60300,CT000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มขายส่งและพัฒนาธุรกิจสื่อสารไร้สาย,ส่วนพัฒนาบริการเสริมสื่อสารไร้สาย,ฝ่ายพัฒนาธุรกิจสื่อสารไร้สาย 1,สายงานสื่อสารไร้สาย 1,สธร.,ธร.,1J60302,ส่วนพัฒนาบริการเสริมสื่อสารไร้สาย,สายงานสื่อสารไร้สาย 1,สายงานสื่อสารไร้สาย 1,ฝ่ายพัฒนาธุรกิจสื่อสารไร้สาย 1,ธร.,
1J60304,1J60300,CT000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มขายส่งและพัฒนาธุรกิจสื่อสารไร้สาย,ส่วนพัฒนาบริการข้ามโครงข่าย,ฝ่ายพัฒนาธุรกิจสื่อสารไร้สาย 1,สายงานสื่อสารไร้สาย 1,ขธร.,ธร.,1J60304,ส่วนพัฒนาบริการข้ามโครงข่าย,สายงานสื่อสารไร้สาย 1,สายงานสื่อสารไร้สาย 1,ฝ่ายพัฒนาธุรกิจสื่อสารไร้สาย 1,ธร.,
1J60306,1J60300,CT000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มขายส่งและพัฒนาธุรกิจสื่อสารไร้สาย,ส่วนวิเคราะห์ธุรกิจสื่อสารไร้สาย,ฝ่ายพัฒนาธุรกิจสื่อสารไร้สาย 1,สายงานสื่อสารไร้สาย 1,วธร.,ธร.,1J60306,ส่วนวิเคราะห์ธุรกิจสื่อสารไร้สาย,สายงานสื่อสารไร้สาย 1,สายงานสื่อสารไร้สาย 1,ฝ่ายพัฒนาธุรกิจสื่อสารไร้สาย 1,ธร.,
1J60309,1J60300,CT000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มขายส่งและพัฒนาธุรกิจสื่อสารไร้สาย,ส่วนพัฒนาและบริการวิทยุคมนาคม,ฝ่ายพัฒนาธุรกิจสื่อสารไร้สาย 1,สายงานสื่อสารไร้สาย 1,คธร.,ธร.,1J60309,ส่วนพัฒนาและบริการวิทยุคมนาคม,สายงานสื่อสารไร้สาย 1,สายงานสื่อสารไร้สาย 1,ฝ่ายพัฒนาธุรกิจสื่อสารไร้สาย 1,ธร.,
1H10400,1H10400,CV000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มขายส่งและพัฒนาธุรกิจสื่อสารไร้สาย,ฝ่ายขายส่งบริการสื่อสารไร้สาย,ฝ่ายขายส่งบริการสื่อสารไร้สาย,สายงานสื่อสารไร้สาย 1,ขร.,ขร.,1H10400,ฝ่ายขายส่งบริการสื่อสารไร้สาย,สายงานสื่อสารไร้สาย 1,สายงานสื่อสารไร้สาย 1,ฝ่ายขายส่งบริการสื่อสารไร้สาย,ขร.,
1H10401,1H10400,CV000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มขายส่งและพัฒนาธุรกิจสื่อสารไร้สาย,ส่วนขายส่งบริการสื่อสารไร้สาย,ฝ่ายขายส่งบริการสื่อสารไร้สาย,สายงานสื่อสารไร้สาย 1,สขร.,ขร.,1H10401,ส่วนขายส่งบริการสื่อสารไร้สาย,สายงานสื่อสารไร้สาย 1,สายงานสื่อสารไร้สาย 1,ฝ่ายขายส่งบริการสื่อสารไร้สาย,ขร.,
1H10402,1H10400,CV000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มขายส่งและพัฒนาธุรกิจสื่อสารไร้สาย,ส่วนบริหารสัญญาขายส่งบริการสื่อสารไร้สาย 1,ฝ่ายขายส่งบริการสื่อสารไร้สาย,สายงานสื่อสารไร้สาย 1,บขร.1,ขร.,1H10402,ส่วนบริหารสัญญาขายส่งบริการสื่อสารไร้สาย 1,สายงานสื่อสารไร้สาย 1,สายงานสื่อสารไร้สาย 1,ฝ่ายขายส่งบริการสื่อสารไร้สาย,ขร.,
1H10403,1H10400,CV000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มขายส่งและพัฒนาธุรกิจสื่อสารไร้สาย,ส่วนบริหารสัญญาขายส่งบริการสื่อสารไร้สาย 2,ฝ่ายขายส่งบริการสื่อสารไร้สาย,สายงานสื่อสารไร้สาย 1,บขร.2,ขร.,1H10403,ส่วนบริหารสัญญาขายส่งบริการสื่อสารไร้สาย 2,สายงานสื่อสารไร้สาย 1,สายงานสื่อสารไร้สาย 1,ฝ่ายขายส่งบริการสื่อสารไร้สาย,ขร.,
2I00000,2I00000,B0011,Bangkok,กรุงเทพมหานคร,10210,สายงานสื่อสารไร้สาย 2,สายงานสื่อสารไร้สาย 2,สายงานสื่อสารไร้สาย 2,สายงานสื่อสารไร้สาย 2,รจญ.ส.,ส.,2I00000,สายงานสื่อสารไร้สาย 2,สายงานสื่อสารไร้สาย 2,สายงานสื่อสารไร้สาย 2,สายงานสื่อสารไร้สาย 2,ส.,
2I00001,2I00000,B0011,Bangkok,กรุงเทพมหานคร,10210,สายงานสื่อสารไร้สาย 2,ส่วนสนับสนุนและบริการสายงาน,สายงานสื่อสารไร้สาย 2,สายงานสื่อสารไร้สาย 2,สบส.,ส.,2I00001,ส่วนสนับสนุนและบริการสายงาน,สายงานสื่อสารไร้สาย 2,สายงานสื่อสารไร้สาย 2,สายงานสื่อสารไร้สาย 2,ส.,
2I00002,2I00000,B0011,Bangkok,กรุงเทพมหานคร,10210,สายงานสื่อสารไร้สาย 2,ส่วนพัสดุ,สายงานสื่อสารไร้สาย 2,สายงานสื่อสารไร้สาย 2,พสส.,ส.,2I00002,ส่วนพัสดุ,สายงานสื่อสารไร้สาย 2,สายงานสื่อสารไร้สาย 2,สายงานสื่อสารไร้สาย 2,ส.,
2I00100,2I00100,CL000,Bangkok,กรุงเทพมหานคร,10210,สายงานสื่อสารไร้สาย 2,ฝ่ายพัฒนาธุรกิจสื่อสารไร้สาย 2,ฝ่ายพัฒนาธุรกิจสื่อสารไร้สาย 2,สายงานสื่อสารไร้สาย 2,ธส.,ธส.,2I00100,ฝ่ายพัฒนาธุรกิจสื่อสารไร้สาย 2,สายงานสื่อสารไร้สาย 2,สายงานสื่อสารไร้สาย 2,ฝ่ายพัฒนาธุรกิจสื่อสารไร้สาย 2,ธส.,
2I00101,2I00100,CL000,Bangkok,กรุงเทพมหานคร,10210,สายงานสื่อสารไร้สาย 2,ส่วนบริหารธุรกิจสื่อสารไร้สาย,ฝ่ายพัฒนาธุรกิจสื่อสารไร้สาย 2,สายงานสื่อสารไร้สาย 2,บธส.,ธส.,2I00101,ส่วนบริหารธุรกิจสื่อสารไร้สาย,สายงานสื่อสารไร้สาย 2,สายงานสื่อสารไร้สาย 2,ฝ่ายพัฒนาธุรกิจสื่อสารไร้สาย 2,ธส.,
2I00103,2I00100,CL000,Bangkok,กรุงเทพมหานคร,10210,สายงานสื่อสารไร้สาย 2,ส่วนบริหารงานขายปลีกและขายส่งสื่อสารไร้สาย,ฝ่ายพัฒนาธุรกิจสื่อสารไร้สาย 2,สายงานสื่อสารไร้สาย 2,ขธส.,ธส.,2I00103,ส่วนบริหารงานขายปลีกและขายส่งสื่อสารไร้สาย,สายงานสื่อสารไร้สาย 2,สายงานสื่อสารไร้สาย 2,ฝ่ายพัฒนาธุรกิจสื่อสารไร้สาย 2,ธส.,
2I00104,2I00100,CL000,Bangkok,กรุงเทพมหานคร,10210,สายงานสื่อสารไร้สาย 2,ส่วนบริหารงานพันธมิตรสื่อสารไร้สาย,ฝ่ายพัฒนาธุรกิจสื่อสารไร้สาย 2,สายงานสื่อสารไร้สาย 2,พธส.,ธส.,2I00104,ส่วนบริหารงานพันธมิตรสื่อสารไร้สาย,สายงานสื่อสารไร้สาย 2,สายงานสื่อสารไร้สาย 2,ฝ่ายพัฒนาธุรกิจสื่อสารไร้สาย 2,ธส.,
2I10000,2I10000,B0014,Bangkok,กรุงเทพมหานคร,10210,กลุ่มปฏิบัติการสื่อสารไร้สาย 2,กลุ่มปฏิบัติการสื่อสารไร้สาย 2,กลุ่มปฏิบัติการสื่อสารไร้สาย 2,สายงานสื่อสารไร้สาย 2,ชจญ.ป.2,ป.2,2I10000,กลุ่มปฏิบัติการสื่อสารไร้สาย 2,สายงานสื่อสารไร้สาย 2,กลุ่มปฏิบัติการสื่อสารไร้สาย 2,กลุ่มปฏิบัติการสื่อสารไร้สาย 2,ป.2,
2I10100,2I10100,BM000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มปฏิบัติการสื่อสารไร้สาย 2,ฝ่ายปฏิบัติการและบำรุงรักษาสื่อสารไร้สาย 2,ฝ่ายปฏิบัติการและบำรุงรักษาสื่อสารไร้สาย 2,สายงานสื่อสารไร้สาย 2,ปป.2,ปป.2,2I10100,ฝ่ายปฏิบัติการและบำรุงรักษาสื่อสารไร้สาย 2,สายงานสื่อสารไร้สาย 2,กลุ่มปฏิบัติการสื่อสารไร้สาย 2,ฝ่ายปฏิบัติการและบำรุงรักษาสื่อสารไร้สาย 2,ปป.2,
2I10101,2I10100,BM000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มปฏิบัติการสื่อสารไร้สาย 2,ส่วนปฏิบัติการโครงข่ายหลักสื่อสารไร้สาย,ฝ่ายปฏิบัติการและบำรุงรักษาสื่อสารไร้สาย 2,สายงานสื่อสารไร้สาย 2,คปป.2,ปป.2,2I10101,ส่วนปฏิบัติการโครงข่ายหลักสื่อสารไร้สาย,สายงานสื่อสารไร้สาย 2,กลุ่มปฏิบัติการสื่อสารไร้สาย 2,ฝ่ายปฏิบัติการและบำรุงรักษาสื่อสารไร้สาย 2,ปป.2,
2I10102,2I10100,BM000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มปฏิบัติการสื่อสารไร้สาย 2,ส่วนบริหารโครงข่ายสื่อสารไร้สาย,ฝ่ายปฏิบัติการและบำรุงรักษาสื่อสารไร้สาย 2,สายงานสื่อสารไร้สาย 2,บปป.2,ปป.2,2I10102,ส่วนบริหารโครงข่ายสื่อสารไร้สาย,สายงานสื่อสารไร้สาย 2,กลุ่มปฏิบัติการสื่อสารไร้สาย 2,ฝ่ายปฏิบัติการและบำรุงรักษาสื่อสารไร้สาย 2,ปป.2,
2I10103,2I10100,BM000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มปฏิบัติการสื่อสารไร้สาย 2,ส่วนบริการเสริมสื่อสารไร้สาย,ฝ่ายปฏิบัติการและบำรุงรักษาสื่อสารไร้สาย 2,สายงานสื่อสารไร้สาย 2,สปป.2,ปป.2,2I10103,ส่วนบริการเสริมสื่อสารไร้สาย,สายงานสื่อสารไร้สาย 2,กลุ่มปฏิบัติการสื่อสารไร้สาย 2,ฝ่ายปฏิบัติการและบำรุงรักษาสื่อสารไร้สาย 2,ปป.2,
2I10104,2I10100,BM000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มปฏิบัติการสื่อสารไร้สาย 2,ส่วนบริการลูกค้าสื่อสารไร้สาย,ฝ่ายปฏิบัติการและบำรุงรักษาสื่อสารไร้สาย 2,สายงานสื่อสารไร้สาย 2,ลปป.2,ปป.2,2I10104,ส่วนบริการลูกค้าสื่อสารไร้สาย,สายงานสื่อสารไร้สาย 2,กลุ่มปฏิบัติการสื่อสารไร้สาย 2,ฝ่ายปฏิบัติการและบำรุงรักษาสื่อสารไร้สาย 2,ปป.2,
2I10105,2I10100,BM000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มปฏิบัติการสื่อสารไร้สาย 2,ส่วนพัฒนาผลิตภัณฑ์สื่อสารไร้สาย,ฝ่ายปฏิบัติการและบำรุงรักษาสื่อสารไร้สาย 2,สายงานสื่อสารไร้สาย 2,พปป.2,ปป.2,2I10105,ส่วนพัฒนาผลิตภัณฑ์สื่อสารไร้สาย,สายงานสื่อสารไร้สาย 2,กลุ่มปฏิบัติการสื่อสารไร้สาย 2,ฝ่ายปฏิบัติการและบำรุงรักษาสื่อสารไร้สาย 2,ปป.2,
2I10106,2I10100,BM000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มปฏิบัติการสื่อสารไร้สาย 2,ส่วนปฏิบัติการระบบสายอากาศและเชื่อมโยงสื่อสารไร้สาย,ฝ่ายปฏิบัติการและบำรุงรักษาสื่อสารไร้สาย 2,สายงานสื่อสารไร้สาย 2,ชปป.2,ปป.2,2I10106,ส่วนปฏิบัติการระบบสายอากาศและเชื่อมโยงสื่อสารไร้สาย,สายงานสื่อสารไร้สาย 2,กลุ่มปฏิบัติการสื่อสารไร้สาย 2,ฝ่ายปฏิบัติการและบำรุงรักษาสื่อสารไร้สาย 2,ปป.2,
2I10107,2I10100,BM000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มปฏิบัติการสื่อสารไร้สาย 2,ส่วนบริหารข้อมูลสื่อสารไร้สาย,ฝ่ายปฏิบัติการและบำรุงรักษาสื่อสารไร้สาย 2,สายงานสื่อสารไร้สาย 2,ขปป.2,ปป.2,2I10107,ส่วนบริหารข้อมูลสื่อสารไร้สาย,สายงานสื่อสารไร้สาย 2,กลุ่มปฏิบัติการสื่อสารไร้สาย 2,ฝ่ายปฏิบัติการและบำรุงรักษาสื่อสารไร้สาย 2,ปป.2,
2I10200,2I10200,BR000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มปฏิบัติการสื่อสารไร้สาย 2,ฝ่ายเทคโนโลยี 5G,ฝ่ายเทคโนโลยี 5G,สายงานสื่อสารไร้สาย 2,ทป.2,ทป.2,2I10200,ฝ่ายเทคโนโลยี 5G,สายงานสื่อสารไร้สาย 2,กลุ่มปฏิบัติการสื่อสารไร้สาย 2,ฝ่ายเทคโนโลยี 5G,ทป.2,
2I10201,2I10200,BR000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มปฏิบัติการสื่อสารไร้สาย 2,ส่วนควบคุมและพัฒนาคุณภาพบริการสื่อสารไร้สาย,ฝ่ายเทคโนโลยี 5G,สายงานสื่อสารไร้สาย 2,คทป.2,ทป.2,2I10201,ส่วนควบคุมและพัฒนาคุณภาพบริการสื่อสารไร้สาย,สายงานสื่อสารไร้สาย 2,กลุ่มปฏิบัติการสื่อสารไร้สาย 2,ฝ่ายเทคโนโลยี 5G,ทป.2,
2I10202,2I10200,BR000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มปฏิบัติการสื่อสารไร้สาย 2,ส่วนพัฒนาเทคโนโลยี 5G ,ฝ่ายเทคโนโลยี 5G,สายงานสื่อสารไร้สาย 2,พทป.2,ทป.2,2I10202,ส่วนพัฒนาเทคโนโลยี 5G ,สายงานสื่อสารไร้สาย 2,กลุ่มปฏิบัติการสื่อสารไร้สาย 2,ฝ่ายเทคโนโลยี 5G,ทป.2,
2I10203,2I10200,BR000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มปฏิบัติการสื่อสารไร้สาย 2,ส่วนปฏิบัติการเทคโนโลยี 5G ,ฝ่ายเทคโนโลยี 5G,สายงานสื่อสารไร้สาย 2,ปทป.2,ทป.2,2I10203,ส่วนปฏิบัติการเทคโนโลยี 5G ,สายงานสื่อสารไร้สาย 2,กลุ่มปฏิบัติการสื่อสารไร้สาย 2,ฝ่ายเทคโนโลยี 5G,ทป.2,
1D00000,1D00000,E0009,Bangkok,กรุงเทพมหานคร,10210,สายงานดิจิทัล,สายงานดิจิทัล,สายงานดิจิทัล,สายงานดิจิทัล,รจญ.ด.,ด.,1D00000,สายงานดิจิทัล,สายงานดิจิทัล,สายงานดิจิทัล,สายงานดิจิทัล,ด.,
1D00004,1D00000,E0009,Bangkok,กรุงเทพมหานคร,10210,สายงานดิจิทัล,ส่วนสนับสนุนและบริการสายงาน,สายงานดิจิทัล,สายงานดิจิทัล,สบด.,ด.,1D00004,ส่วนสนับสนุนและบริการสายงาน,สายงานดิจิทัล,สายงานดิจิทัล,สายงานดิจิทัล,ด.,
1D00005,1D00000,E0009,Bangkok,กรุงเทพมหานคร,10210,สายงานดิจิทัล,ส่วนพัสดุ,สายงานดิจิทัล,สายงานดิจิทัล,พสด.,ด.,1D00005,ส่วนพัสดุ,สายงานดิจิทัล,สายงานดิจิทัล,สายงานดิจิทัล,ด.,
1J00500,1J00500,EP000,Bangkok,กรุงเทพมหานคร,10210,สายงานดิจิทัล,ศูนย์นวัตกรรมดิจิทัล,ศูนย์นวัตกรรมดิจิทัล,สายงานดิจิทัล,ศด.,ศด.,1J00500,ศูนย์นวัตกรรมดิจิทัล,สายงานดิจิทัล,สายงานดิจิทัล,ศูนย์นวัตกรรมดิจิทัล,ศด.,
1J00501,1J00500,EP000,Bangkok,กรุงเทพมหานคร,10210,สายงานดิจิทัล,ส่วนปฏิบัติการวิจัย,ศูนย์นวัตกรรมดิจิทัล,สายงานดิจิทัล,ปศด.,ศด.,1J00501,ส่วนปฏิบัติการวิจัย,สายงานดิจิทัล,สายงานดิจิทัล,ศูนย์นวัตกรรมดิจิทัล,ศด.,
1J00502,1J00500,EP000,Bangkok,กรุงเทพมหานคร,10210,สายงานดิจิทัล,ส่วนบริหารงานวิจัย,ศูนย์นวัตกรรมดิจิทัล,สายงานดิจิทัล,บศด.,ศด.,1J00502,ส่วนบริหารงานวิจัย,สายงานดิจิทัล,สายงานดิจิทัล,ศูนย์นวัตกรรมดิจิทัล,ศด.,
1D30000,1D30000,E0010,Bangkok,กรุงเทพมหานคร,10210,กลุ่มดิจิทัล,กลุ่มดิจิทัล,กลุ่มดิจิทัล,สายงานดิจิทัล,ชจญ.ด.,ด.,1D30000,กลุ่มดิจิทัล,สายงานดิจิทัล,กลุ่มดิจิทัล,กลุ่มดิจิทัล,ด.,
1P10400,1P10400,EQ000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มดิจิทัล,ฝ่ายธุรกิจความปลอดภัยไซเบอร์,ฝ่ายธุรกิจความปลอดภัยไซเบอร์,สายงานดิจิทัล,ภด.,ภด.,1P10400,ฝ่ายธุรกิจความปลอดภัยไซเบอร์,สายงานดิจิทัล,กลุ่มดิจิทัล,ฝ่ายธุรกิจความปลอดภัยไซเบอร์,ภด.,
1P10401,1P10400,EQ000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มดิจิทัล,ส่วนบริการศูนย์เฝ้าระวังความปลอดภัยไซเบอร์,ฝ่ายธุรกิจความปลอดภัยไซเบอร์,สายงานดิจิทัล,ฝภด.,ภด.,1P10401,ส่วนบริการศูนย์เฝ้าระวังความปลอดภัยไซเบอร์,สายงานดิจิทัล,กลุ่มดิจิทัล,ฝ่ายธุรกิจความปลอดภัยไซเบอร์,ภด.,
1P10402,1P10400,EQ000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มดิจิทัล,ส่วนบริการ CCTV,ฝ่ายธุรกิจความปลอดภัยไซเบอร์,สายงานดิจิทัล,บภด.,ภด.,1P10402,ส่วนบริการ CCTV,สายงานดิจิทัล,กลุ่มดิจิทัล,ฝ่ายธุรกิจความปลอดภัยไซเบอร์,ภด.,
1P10403,1P10400,EQ000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มดิจิทัล,ส่วนวางแผนและบริหารธุรกิจความปลอดภัยไซเบอร์,ฝ่ายธุรกิจความปลอดภัยไซเบอร์,สายงานดิจิทัล,วภด.,ภด.,1P10403,ส่วนวางแผนและบริหารธุรกิจความปลอดภัยไซเบอร์,สายงานดิจิทัล,กลุ่มดิจิทัล,ฝ่ายธุรกิจความปลอดภัยไซเบอร์,ภด.,
1P10404,1P10400,EQ000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มดิจิทัล,ส่วนบริการระบบความปลอดภัยไซเบอร์,ฝ่ายธุรกิจความปลอดภัยไซเบอร์,สายงานดิจิทัล,ปภด.,ภด.,1P10404,ส่วนบริการระบบความปลอดภัยไซเบอร์,สายงานดิจิทัล,กลุ่มดิจิทัล,ฝ่ายธุรกิจความปลอดภัยไซเบอร์,ภด.,
1P10405,1P10400,EQ000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มดิจิทัล,ส่วนบริการมาตรฐานความปลอดภัยไซเบอร์,ฝ่ายธุรกิจความปลอดภัยไซเบอร์,สายงานดิจิทัล,มภด.,ภด.,1P10405,ส่วนบริการมาตรฐานความปลอดภัยไซเบอร์,สายงานดิจิทัล,กลุ่มดิจิทัล,ฝ่ายธุรกิจความปลอดภัยไซเบอร์,ภด.,
1D30200,1D30200,ER000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มดิจิทัล,ฝ่ายธุรกิจบริการดิจิทัล,ฝ่ายธุรกิจบริการดิจิทัล,สายงานดิจิทัล,จด.,จด.,1D30200,ฝ่ายธุรกิจบริการดิจิทัล,สายงานดิจิทัล,กลุ่มดิจิทัล,ฝ่ายธุรกิจบริการดิจิทัล,จด.,
1D30201,1D30200,ER000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มดิจิทัล,ส่วนพัฒนาโซลูชั่นธุรกิจดิจิทัล,ฝ่ายธุรกิจบริการดิจิทัล,สายงานดิจิทัล,ซจด.,จด.,1D30201,ส่วนพัฒนาโซลูชั่นธุรกิจดิจิทัล,สายงานดิจิทัล,กลุ่มดิจิทัล,ฝ่ายธุรกิจบริการดิจิทัล,จด.,
1D30202,1D30200,ER000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มดิจิทัล,ส่วนพันธมิตรบริการดิจิทัล,ฝ่ายธุรกิจบริการดิจิทัล,สายงานดิจิทัล,พจด.,จด.,1D30202,ส่วนพันธมิตรบริการดิจิทัล,สายงานดิจิทัล,กลุ่มดิจิทัล,ฝ่ายธุรกิจบริการดิจิทัล,จด.,
1D30203,1D30200,ER000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มดิจิทัล,ส่วนบริการดิจิทัล,ฝ่ายธุรกิจบริการดิจิทัล,สายงานดิจิทัล,บจด.,จด.,1D30203,ส่วนบริการดิจิทัล,สายงานดิจิทัล,กลุ่มดิจิทัล,ฝ่ายธุรกิจบริการดิจิทัล,จด.,
1D30204,1D30200,ER000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มดิจิทัล,ส่วนวางแผนและบริหารธุรกิจบริการดิจิทัล,ฝ่ายธุรกิจบริการดิจิทัล,สายงานดิจิทัล,วจด.,จด.,1D30204,ส่วนวางแผนและบริหารธุรกิจบริการดิจิทัล,สายงานดิจิทัล,กลุ่มดิจิทัล,ฝ่ายธุรกิจบริการดิจิทัล,จด.,
1J60500,1J60500,ES000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มดิจิทัล,ฝ่ายปฏิบัติการศูนย์ข้อมูล,ฝ่ายปฏิบัติการศูนย์ข้อมูล,สายงานดิจิทัล,ปด.,ปด.,1J60500,ฝ่ายปฏิบัติการศูนย์ข้อมูล,สายงานดิจิทัล,กลุ่มดิจิทัล,ฝ่ายปฏิบัติการศูนย์ข้อมูล,ปด.,
1J60502,1J60500,ES000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มดิจิทัล,ส่วนวางแผนและวิศวกรรมศูนย์ข้อมูล,ฝ่ายปฏิบัติการศูนย์ข้อมูล,สายงานดิจิทัล,วปด.,ปด.,1J60502,ส่วนวางแผนและวิศวกรรมศูนย์ข้อมูล,สายงานดิจิทัล,กลุ่มดิจิทัล,ฝ่ายปฏิบัติการศูนย์ข้อมูล,ปด.,
1J60503,1J60500,ES000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มดิจิทัล,ส่วนปฏิบัติการศูนย์ข้อมูล นนทบุรี และศรีราชา,ฝ่ายปฏิบัติการศูนย์ข้อมูล,สายงานดิจิทัล,นปด.,ปด.,1J60503,ส่วนปฏิบัติการศูนย์ข้อมูล นนทบุรี และศรีราชา,สายงานดิจิทัล,กลุ่มดิจิทัล,ฝ่ายปฏิบัติการศูนย์ข้อมูล,ปด.,
1J60504,1J60500,ES000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มดิจิทัล,ส่วนปฏิบัติการศูนย์ข้อมูล บางรัก,ฝ่ายปฏิบัติการศูนย์ข้อมูล,สายงานดิจิทัล,บปด.,ปด.,1J60504,ส่วนปฏิบัติการศูนย์ข้อมูล บางรัก,สายงานดิจิทัล,กลุ่มดิจิทัล,ฝ่ายปฏิบัติการศูนย์ข้อมูล,ปด.,
1J60505,1J60500,ES000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มดิจิทัล,ส่วนปฏิบัติการระบบ Facility,ฝ่ายปฏิบัติการศูนย์ข้อมูล,สายงานดิจิทัล,รปด.,ปด.,1J60505,ส่วนปฏิบัติการระบบ Facility,สายงานดิจิทัล,กลุ่มดิจิทัล,ฝ่ายปฏิบัติการศูนย์ข้อมูล,ปด.,
1D30300,1D30300,ET000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มดิจิทัล,ฝ่ายธุรกิจแลกเปลี่ยนข้อมูล,ฝ่ายธุรกิจแลกเปลี่ยนข้อมูล,สายงานดิจิทัล,มด.,มด.,1D30300,ฝ่ายธุรกิจแลกเปลี่ยนข้อมูล,สายงานดิจิทัล,กลุ่มดิจิทัล,ฝ่ายธุรกิจแลกเปลี่ยนข้อมูล,มด.,
1D30301,1D30300,ET000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มดิจิทัล,ส่วนวางแผนวิศวกรรมธุรกิจแลกเปลี่ยนข้อมูล,ฝ่ายธุรกิจแลกเปลี่ยนข้อมูล,สายงานดิจิทัล,วมด.,มด.,1D30301,ส่วนวางแผนวิศวกรรมธุรกิจแลกเปลี่ยนข้อมูล,สายงานดิจิทัล,กลุ่มดิจิทัล,ฝ่ายธุรกิจแลกเปลี่ยนข้อมูล,มด.,
1D30303,1D30300,ET000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มดิจิทัล,ส่วนพัฒนาโซลูชั่นธุรกิจแลกเปลี่ยนข้อมูล,ฝ่ายธุรกิจแลกเปลี่ยนข้อมูล,สายงานดิจิทัล,พมด.,มด.,1D30303,ส่วนพัฒนาโซลูชั่นธุรกิจแลกเปลี่ยนข้อมูล,สายงานดิจิทัล,กลุ่มดิจิทัล,ฝ่ายธุรกิจแลกเปลี่ยนข้อมูล,มด.,
